"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"d:\ReactProjects\Ecom-WebApp-DP1\README.md", "Markdown", 24, 0, 0, 0, 0, 0, 22, 46
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 2
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\firebase.json", "JSON", 0, 0, 7, 0, 0, 10, 0, 17
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\package-lock.json", "JSON", 0, 0, 17838, 0, 0, 0, 1, 17839
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\package.json", "JSON", 0, 0, 52, 0, 0, 0, 1, 53
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\public\index.html", "HTML", 0, 0, 0, 0, 21, 23, 2, 46
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\App.css", "CSS", 0, 0, 0, 13, 0, 0, 1, 14
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\App.js", "JavaScript", 0, 78, 0, 0, 0, 0, 5, 83
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Banner.css", "CSS", 0, 0, 0, 16, 0, 0, 1, 17
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Banner.js", "JavaScript", 0, 9, 0, 0, 0, 0, 4, 13
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Checkout.css", "CSS", 0, 0, 0, 86, 0, 0, 0, 86
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Checkout.js", "JavaScript", 0, 76, 0, 0, 0, 0, 8, 84
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Checkoutitem.css", "CSS", 0, 0, 0, 70, 0, 0, 3, 73
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Checkoutitem.js", "JavaScript", 0, 52, 0, 0, 0, 0, 7, 59
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Contact.css", "CSS", 0, 0, 0, 114, 0, 0, 1, 115
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Contact.js", "JavaScript", 0, 35, 0, 0, 0, 0, 3, 38
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Footer.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 32
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Footer.js", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Header.css", "CSS", 0, 0, 0, 455, 0, 0, 8, 463
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Header.js", "JavaScript", 0, 97, 0, 0, 0, 0, 6, 103
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Home.css", "CSS", 0, 0, 0, 80, 0, 0, 3, 83
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Home.js", "JavaScript", 0, 109, 0, 0, 0, 0, 32, 141
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Itemopen.css", "CSS", 0, 0, 0, 130, 0, 0, 1, 131
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Itemopen.js", "JavaScript", 0, 67, 0, 0, 0, 0, 10, 77
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\ItemsTot.js", "JavaScript", 0, 88, 0, 0, 0, 0, 10, 98
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Login.css", "CSS", 0, 0, 0, 217, 0, 0, 6, 223
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Login.js", "JavaScript", 0, 105, 0, 0, 0, 0, 18, 123
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Myorders.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 31
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Myorders.js", "JavaScript", 0, 55, 0, 0, 0, 176, 9, 240
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Product.css", "CSS", 0, 0, 0, 110, 0, 0, 2, 112
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Product.js", "JavaScript", 0, 68, 0, 0, 0, 0, 8, 76
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\SearchRes.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 35
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\SearchRes.js", "JavaScript", 0, 27, 0, 0, 0, 0, 4, 31
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\Signup.js", "JavaScript", 0, 85, 0, 0, 0, 0, 13, 98
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\actions\cartAction.js", "JavaScript", 0, 17, 0, 0, 0, 0, 3, 20
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\actions\loginAction.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\actions\openItemaction.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 10
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\actions\searchAction.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\reducers\cartReducer.js", "JavaScript", 0, 42, 0, 0, 0, 0, 1, 43
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\reducers\loginReducer.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 27
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\reducers\openItemReducer.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 23
"d:\ReactProjects\Ecom-WebApp-DP1\backend\client\src\reducers\searchReducer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 26
"d:\ReactProjects\Ecom-WebApp-DP1\backend\models\Item.model.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"d:\ReactProjects\Ecom-WebApp-DP1\backend\models\account.model.js", "JavaScript", 0, 23, 0, 0, 0, 0, 4, 27
"d:\ReactProjects\Ecom-WebApp-DP1\backend\package-lock.json", "JSON", 0, 0, 1543, 0, 0, 0, 1, 1544
"d:\ReactProjects\Ecom-WebApp-DP1\backend\package.json", "JSON", 0, 0, 24, 0, 0, 0, 1, 25
"d:\ReactProjects\Ecom-WebApp-DP1\backend\routes\addAcc.js", "JavaScript", 0, 86, 0, 0, 0, 11, 10, 107
"d:\ReactProjects\Ecom-WebApp-DP1\backend\routes\addItem.js", "JavaScript", 0, 20, 0, 0, 0, 0, 5, 25
"d:\ReactProjects\Ecom-WebApp-DP1\backend\server.js", "JavaScript", 0, 15, 0, 0, 0, 9, 5, 29
"Total", "-", 24, 1315, 19489, 1389, 21, 229, 234, 22701